# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ab.fig
# Right panel: H+ - CO2 collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and CO2, Q = -0.4 eV
# sigma_ip: CO2 ionization by H+, Q = -16.6 eV
# sigma_La: Lyman-alpha emission, H+ + CO2, Q = -10.2 eV
# sigma_el: elastic collision, H+ + CO2, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + CO2, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
9000	6.89467861348e-16	3.34225562265e-16	4.27289808674e-17	1.81621893021e-16	8.9822887553e-18
10000	6.52768404801e-16	3.6844691614e-16	4.20446481009e-17	1.69316111129e-16	8.8470422235e-18
20000	4.40890885117e-16	6.35062864576e-16	3.65582500278e-17	1.06719163116e-16	7.729164618e-18
30000	3.43779672143e-16	7.83985211567e-16	3.26319253604e-17	8.14672846875e-17	6.91174104615e-18
40000	2.86359314117e-16	8.56561810063e-16	2.96277442423e-17	6.72645957923e-17	6.28185231975e-18
50000	2.4772250333e-16	8.84551787866e-16	2.72326440793e-17	5.7976789065e-17	5.77789042331e-18
60000	2.19615178686e-16	8.87409672608e-16	2.52664130404e-17	5.13484534061e-17	5.36328398224e-18
70000	1.98073818858e-16	8.76387089473e-16	2.3616020097e-17	4.63390899166e-17	5.0147752804e-18
80000	1.80937962311e-16	8.57920518597e-16	2.22062595364e-17	4.23965641688e-17	4.71677026334e-18
90000	1.66920259906e-16	8.35704638661e-16	2.09848174377e-17	3.91983871476e-17	4.45836890937e-18
100000	1.55201207523e-16	8.11871855011e-16	1.99140024905e-17	3.65425024703e-17	4.23169188895e-18
200000	9.4643319641e-17	6.06095155224e-16	1.35781566919e-17	2.30325705911e-17	2.88825724681e-18
300000	6.99914459973e-17	4.81872368973e-16	1.05619860718e-17	1.75826058849e-17	2.24763309933e-18
400000	5.62080828648e-17	4.02543033804e-16	8.74752451336e-18	1.45173229028e-17	1.86196946611e-18
500000	4.72831596796e-17	3.47477407958e-16	7.51851955011e-18	1.25127900913e-17	1.60063464178e-18
600000	4.0983611228e-17	3.06860961009e-16	6.62331295026e-18	1.10822353108e-17	1.41022468239e-18
700000	3.6275648019e-17	2.75550113618e-16	5.9382472685e-18	1.00010937911e-17	1.26448154044e-18
800000	3.26106984134e-17	2.50599050293e-16	5.39487524653e-18	9.15020159949e-18	1.148864422e-18
900000	2.96689771879e-17	2.30197984641e-16	4.95199720913e-18	8.45995782459e-18	1.0546181456e-18
1000000	2.72507402425e-17	2.13171799248e-16	4.5832158336e-18	7.88675382328e-18	9.76131729847e-19
2000000	1.54260786686e-17	1.26330706655e-16	2.7108481431e-18	4.97098452186e-18	5.77525236025e-19
3000000	1.09833028958e-17	9.19400734386e-17	1.97197589085e-18	3.79475062768e-18	4.20170912215e-19
4000000	8.60849539352e-18	7.30691965515e-17	1.56691107342e-18	3.13318859322e-18	3.33891119961e-19
5000000	7.116554968e-18	6.10108009255e-17	1.30818018293e-18	2.70056204204e-18	2.78774789516e-19
6000000	6.08666421351e-18	5.25834732274e-17	1.12739942739e-18	2.39181380035e-18	2.40260848231e-19
7000000	5.33020749657e-18	4.63339866902e-17	9.93356102688e-19	2.15847737189e-18	2.11702261311e-19
8000000	4.74955055037e-18	4.14994792589e-17	8.89672463437e-19	1.97483430445e-18	1.89610907313e-19
9000000	4.28890049657e-18	3.76391813676e-17	8.06888350443e-19	1.82586304187e-18	1.71971820814e-19
