# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3cd.fig
# Right panel: H+ - N2 collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and N2, Q = -3.4 eV
# sigma_ip: N2 ionization by H+, Q = -19.6 eV
# sigma_La: Lyman-alpha emission, H+ + N2, Q = -10.2 eV
# sigma_el: elastic collision, H+ + N2, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + N2, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
9000	1.38785960783e-15	2.86837535984e-16	4.84405442896e-17	1.81621893021e-16	7.8474694306e-18
10000	1.36110046778e-15	3.05083655761e-16	4.69492768149e-17	1.69316111129e-16	7.73428829021e-18
20000	1.16223853823e-15	4.35088269972e-16	3.67876394709e-17	1.06719163116e-16	6.76818755311e-18
30000	1.03008437949e-15	5.05313544912e-16	3.1240819817e-17	8.14672846875e-17	6.05355587512e-18
40000	9.31761435249e-16	5.42277988278e-16	2.75664164715e-17	6.72645957923e-17	5.50214649329e-18
50000	8.54456649071e-16	5.59446072648e-16	2.48711198741e-17	5.7976789065e-17	5.06082672825e-18
60000	7.91510149469e-16	5.64512327341e-16	2.27736916506e-17	5.13484534061e-17	4.69771205726e-18
70000	7.38955065e-16	5.62104300712e-16	2.10772464718e-17	4.63390899166e-17	4.39247010601e-18
80000	6.9422949273e-16	5.55089945029e-16	1.9666984157e-17	4.23965641688e-17	4.13145501137e-18
90000	6.55584705873e-16	5.45283604817e-16	1.84702122177e-17	3.91983871476e-17	3.90512447702e-18
100000	6.21776864856e-16	5.33850000157e-16	1.74380815413e-17	3.65425024703e-17	3.70657918182e-18
200000	4.22785189994e-16	4.15637375893e-16	1.15873760257e-17	2.30325705911e-17	2.52985669728e-18
300000	3.2852110331e-16	3.34162530596e-16	8.9200787896e-18	1.75826058849e-17	1.96872717307e-18
400000	2.71921917931e-16	2.79765060997e-16	7.34380959625e-18	1.45173229028e-17	1.63092009988e-18
500000	2.3362570211e-16	2.41298758645e-16	6.28696323445e-18	1.25127900913e-17	1.40201398698e-18
600000	2.05750047932e-16	2.12688442164e-16	5.52234881163e-18	1.10822353108e-17	1.23523175439e-18
700000	1.84428489604e-16	1.90552806206e-16	4.94008086095e-18	1.00010937911e-17	1.10757368921e-18
800000	1.67523279763e-16	1.72891422928e-16	4.47997614496e-18	9.15020159949e-18	1.00630334771e-18
900000	1.53748714241e-16	1.58451410105e-16	4.10608732906e-18	8.45995782459e-18	9.23751968113e-19
1000000	1.422815283e-16	1.46409388448e-16	3.79551817774e-18	7.88675382328e-18	8.5500482857e-19
2000000	8.4099943046e-17	8.53869583849e-17	2.22951789166e-18	4.97098452186e-18	5.05860889964e-19
3000000	6.11590865042e-17	6.15610362428e-17	1.61671229947e-18	3.79475062768e-18	3.6803245699e-19
4000000	4.85873332437e-17	4.86164793729e-17	1.28211539308e-18	3.13318859322e-18	2.92459010543e-19
5000000	4.05592205969e-17	4.04042644634e-17	1.06893967528e-18	2.70056204204e-18	2.44181992966e-19
6000000	3.49507818777e-17	3.46965138848e-17	9.20259624322e-19	2.39181380035e-18	2.10447195941e-19
7000000	3.07928487557e-17	3.04824369595e-17	8.10170813824e-19	2.15847737189e-18	1.85432406467e-19
8000000	2.75769923522e-17	2.72343525739e-17	7.25110603183e-19	1.97483430445e-18	1.66082339497e-19
9000000	2.50095804695e-17	2.46487790373e-17	6.57258195721e-19	1.82586304187e-18	1.50632064015e-19
