# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ef.fig
# Right panel: H+ - O collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and O, Q = -2.4 eV
# sigma_ip: O ionization by H+, Q = -18.5 eV
# sigma_La: Lyman-alpha emission, H+ + O, Q = -10.2 eV
# sigma_el: elastic collision, H+ + O, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + O, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
10000	7.04563767108e-16	7.88856058353e-17	4.20446481009e-17	1.69316111129e-16	8.8470422235e-18
20000	6.74645810339e-16	1.4560052143e-16	3.65582500278e-17	1.06719163116e-16	7.729164618e-18
30000	6.57737366088e-16	1.93428180415e-16	3.26319253604e-17	8.14672846875e-17	6.91174104615e-18
40000	6.45998262551e-16	2.25214644703e-16	2.96277442423e-17	6.72645957923e-17	6.28185231975e-18
50000	6.37037184269e-16	2.45002925323e-16	2.72326440793e-17	5.7976789065e-17	5.77789042331e-18
60000	6.29807803141e-16	2.56310453391e-16	2.52664130404e-17	5.13484534061e-17	5.36328398224e-18
70000	6.23759492823e-16	2.6179398662e-16	2.3616020097e-17	4.63390899166e-17	5.0147752804e-18
80000	6.18567178249e-16	2.63344732975e-16	2.22062595364e-17	4.23965641688e-17	4.71677026334e-18
90000	6.14023120327e-16	2.62273670934e-16	2.09848174377e-17	3.91983871476e-17	4.45836890937e-18
100000	6.09986615067e-16	2.59479461456e-16	1.99140024905e-17	3.65425024703e-17	4.23169188895e-18
200000	5.84084696701e-16	2.10228267572e-16	1.35781566919e-17	2.30325705911e-17	2.88825724681e-18
300000	5.69445958299e-16	1.71092139379e-16	1.05619860718e-17	1.75826058849e-17	2.24763309933e-18
400000	5.59282653904e-16	1.44334095143e-16	8.74752451336e-18	1.45173229028e-17	1.86196946611e-18
500000	5.51524466407e-16	1.25221028669e-16	7.51851955011e-18	1.25127900913e-17	1.60063464178e-18
600000	5.45265521612e-16	1.10911132288e-16	6.62331295026e-18	1.10822353108e-17	1.41022468239e-18
700000	5.40029106528e-16	9.97817798213e-17	5.9382472685e-18	1.00010937911e-17	1.26448154044e-18
800000	5.35533782557e-16	9.08623330734e-17	5.39487524653e-18	9.15020159949e-18	1.148864422e-18
900000	5.31599696474e-16	8.35409367448e-17	4.95199720913e-18	8.45995782459e-18	1.0546181456e-18
1000000	5.28105031697e-16	7.74136291711e-17	4.5832158336e-18	7.88675382328e-18	9.76131729847e-19
2000000	5.05680058621e-16	4.59830787459e-17	2.7108481431e-18	4.97098452186e-18	5.77525236025e-19
3000000	4.9300635199e-16	3.34813852875e-17	1.97197589085e-18	3.79475062768e-18	4.20170912215e-19
4000000	4.84207319262e-16	2.66140424315e-17	1.56691107342e-18	3.13318859322e-18	3.33891119961e-19
5000000	4.77490552447e-16	2.22239261377e-17	1.30818018293e-18	2.70056204204e-18	2.78774789516e-19
6000000	4.72071777415e-16	1.91550956758e-17	1.12739942739e-18	2.39181380035e-18	2.40260848231e-19
7000000	4.67538272768e-16	1.68790374951e-17	9.93356102688e-19	2.15847737189e-18	2.11702261311e-19
8000000	4.63646378832e-16	1.5118169749e-17	8.89672463437e-19	1.97483430445e-18	1.89610907313e-19
9000000	4.60240384989e-16	1.37120598488e-17	8.06888350443e-19	1.82586304187e-18	1.71971820814e-19
