# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ab.fig
# Left panel: H - CO2 collision cross sections.
# Columns: energy_eV sigma_el_cm2 sigma_01_cm2 sigma_La_cm2 sigma_ia_cm2 sigma_Ha_cm2
# sigma_el: elastic collision, H + CO2, Q = 0 eV
# sigma_01: electron stripping, H + CO2, Q = -14.9 eV
# sigma_La: Lyman-alpha emission, H + CO2, Q = -10.2 eV
# sigma_ia: CO2 ionization by H, Q = -16.6 eV
# sigma_Ha: Balmer-alpha emission, H + CO2, Q = -1.9 eV
energy_eV	sigma_el_cm2	sigma_01_cm2	sigma_La_cm2	sigma_ia_cm2	sigma_Ha_cm2
10000	1.69316111129e-16	2.06124954506e-16	6.92999204425e-17	2.75243503896e-16	1.06871373407e-17
20000	1.06719163116e-16	1.84265889888e-16	6.30211821622e-17	2.64948825683e-16	8.11293002228e-18
30000	8.14672846875e-17	1.65655900174e-16	5.78938165682e-17	2.43978216504e-16	6.87310131133e-18
40000	6.72645957923e-17	1.50869922099e-16	5.36241092548e-17	2.2470043757e-16	6.06735165885e-18
50000	5.7976789065e-17	1.38907095264e-16	5.00186777215e-17	2.08175901721e-16	5.47859896158e-18
60000	5.13484534061e-17	1.29013271475e-16	4.6933298311e-17	1.94096995352e-16	5.02055924101e-18
70000	4.63390899166e-17	1.20672632802e-16	4.42607621038e-17	1.82017801089e-16	4.64980732417e-18
80000	4.23965641688e-17	1.13528155e-16	4.19208673138e-17	1.71552762071e-16	4.34128910577e-18
90000	3.91983871476e-17	1.07326096172e-16	3.98528392073e-17	1.62396980633e-16	4.07920910412e-18
100000	3.65425024703e-17	1.01881236586e-16	3.80099334241e-17	1.54313754433e-16	3.85296934335e-18
200000	2.30325705911e-17	6.95632834177e-17	2.65876958519e-17	1.0575795728e-16	2.56652041081e-18
300000	1.75826058849e-17	5.41376499644e-17	2.08795245578e-17	8.23772900747e-17	1.97782895561e-18
400000	1.45173229028e-17	4.48493944216e-17	1.73761329924e-17	6.82669643649e-17	1.6293312044e-18
500000	1.25127900913e-17	3.8555001554e-17	1.49772739463e-17	5.869577451e-17	1.39543297974e-18
600000	1.10822353108e-17	3.3968719809e-17	1.32181544829e-17	5.17185447397e-17	1.22609367053e-18
700000	1.00010937911e-17	3.04582353697e-17	1.1865855461e-17	4.63764437434e-17	1.09707359681e-18
800000	9.15020159949e-18	2.7673360042e-17	1.07897826886e-17	4.21377808051e-17	9.95083088223e-19
900000	8.45995782459e-18	2.54032295328e-17	9.91061484076e-18	3.86821544778e-17	9.12178136897e-19
1000000	7.88675382328e-18	2.35127013496e-17	9.1771882407e-18	3.58041163569e-17	8.43295877703e-19
2000000	4.97098452186e-18	1.39112534519e-17	5.43750778026e-18	2.11848720471e-17	4.95717984298e-19
3000000	3.79475062768e-18	1.01209544443e-17	3.95621188604e-18	1.54129875105e-17	3.59584692535e-19
4000000	3.13318859322e-18	8.0426730676e-18	3.14334357993e-18	1.22480754656e-17	2.85223298876e-19
5000000	2.70056204204e-18	6.71504717974e-18	2.62396466147e-18	1.02262754698e-17	2.37834078371e-19
6000000	2.39181380035e-18	5.78733458084e-18	2.2610298044e-18	8.81348254029e-18	2.04776016934e-19
7000000	2.15847737189e-18	5.09942359603e-18	1.99192598526e-18	7.76587461644e-18	1.80294902428e-19
8000000	1.97483430445e-18	4.56729341984e-18	1.7837821383e-18	6.95550091675e-18	1.61377342023e-19
9000000	1.82586304187e-18	4.1424081673e-18	1.61760557749e-18	6.3084481171e-18	1.46285376044e-19
