# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig2.fig
# Figure title: Figure 2
# X axis: Random number
# Y axis: Scattering angle \theta_{LAB} (deg.)
# Interpretation: inverse CDF style mapping from random number to H or H-ENA atmospheric scattering angle in LAB frame.
# Columns: random_number scattering_angle_lab_deg
random_number	scattering_angle_lab_deg
0.873975525246	2.49
0.874332049631	2.5
0.874686206139	2.51
0.875038019835	2.52
0.875387515423	2.53
0.875734717249	2.54
0.87607964931	2.55
0.876422335256	2.56
0.876762798404	2.57
0.877101061737	2.58
0.877437147911	2.59
0.877771079265	2.6
0.878102877823	2.61
0.8784325653	2.62
0.87876016311	2.63
0.879085692367	2.64
0.879409173895	2.65
0.879730628228	2.66
0.880050075622	2.67
0.880367536052	2.68
0.880683029223	2.69
0.88099657457	2.7
0.881308191267	2.71
0.881617898229	2.72
0.881925714116	2.73
0.882231657339	2.74
0.882535746063	2.75
0.882837998212	2.76
0.883138431472	2.77
0.883437063296	2.78
0.883733910908	2.79
0.884028991305	2.8
0.884322321264	2.81
0.884613917342	2.82
0.884903795883	2.83
0.885191973019	2.84
0.885478464674	2.85
0.885763286568	2.86
0.886046454221	2.87
0.886327982954	2.88
0.886607887895	2.89
0.886886183979	2.9
0.887162885955	2.91
0.887438008383	2.92
0.887711565646	2.93
0.887983571942	2.94
0.888254041296	2.95
0.888522987559	2.96
0.88879042441	2.97
0.889056365359	2.98
0.889320823752	2.99
0.88958381277	3
0.889845345435	3.01
0.89010543461	3.02
0.890364093003	3.03
0.890621333167	3.04
0.890877167506	3.05
0.891131608274	3.06
0.891384667579	3.07
0.891636357386	3.08
0.891886689515	3.09
0.892135675649	3.1
0.892383327333	3.11
0.892629655974	3.12
0.892874672848	3.13
0.893118389097	3.14
0.893360815736	3.15
0.893601963648	3.16
0.893841843595	3.17
0.894080466211	3.18
0.894317842009	3.19
0.894553981383	3.2
0.894788894606	3.21
0.895022591836	3.22
0.895255083113	3.23
0.895486378365	3.24
0.895716487409	3.25
0.895945419949	3.26
0.896173185583	3.27
0.8963997938	3.28
0.896625253982	3.29
0.89684957541	3.3
0.897072767259	3.31
0.897294838604	3.32
0.897515798421	3.33
0.897735655586	3.34
0.897954418878	3.35
0.89817209698	3.36
0.898388698482	3.37
0.898604231879	3.38
0.898818705575	3.39
0.899032127884	3.4
0.899244507028	3.41
0.899455851143	3.42
0.899666168279	3.43
0.899875466397	3.44
0.900083753376	3.45
0.90029103701	3.46
0.900497325012	3.47
0.900702625012	3.48
0.900906944561	3.49
0.901110291131	3.5
0.901312672115	3.51
0.90151409483	3.52
0.901714566516	3.53
0.901914094338	3.54
0.902112685389	3.55
0.902310346686	3.56
0.902507085175	3.57
0.902702907732	3.58
0.902897821162	3.59
0.9030918322	3.6
0.903284947513	3.61
0.9034771737	3.62
0.903668517295	3.63
0.903858984765	3.64
